Field Group,Heading Category,Heading,Status,Product Name,Quantity,Units,Value GBP,Actual/Issued Date,Application Area ha,Av Field Unit Price GBP,Crop Group,Field Defined Name,Variety,Year,Quantity per Application Area ha
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,8,L,38,25/04/2017,8.2,4.75,Barley Spring,CF26,Concerto,2017,0.976
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Adigor,8,L,38,25/04/2017,8.3,4.75,Barley Spring,CF54,Concerto,2017,0.964
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Biopower,6,L,18,02/09/2016,12,2.999,Rape Winter,CF14,Rape Winter,2017,0.5
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Biopower,3,L,9,02/09/2016,5.5,2.999,Rape Winter,CF32,Rape Winter,2017,0.545
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Biopower,3,L,9,02/09/2016,6,2.999,Rape Winter,CF50,Rape Winter,2017,0.5
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Biopower,7,L,20.99,19/09/2016,14,2.999,Rape Winter,CF16.B/02,Rape Winter,2017,0.5
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Biopower,1.75,L,5.25,19/09/2016,3.5,2.999,Rape Winter,CF25,Rape Winter,2017,0.5
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Biopower,1.75,L,5.25,19/09/2016,3.5,2.999,Rape Winter,CF27,Rape Winter,2017,0.5
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,8.831,L,52.84,05/09/2016,18.5,6.676,Barley Winter,CF55,Flagon,2017,0.477
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.779,L,10.64,05/09/2016,4.5,6.676,Potatoes Maincrop,CF13,Potatoes,2017,0.395
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.897,L,11.35,05/09/2016,4.8,6.676,Potatoes Maincrop,CF33,Potatoes,2017,0.395
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,6.324,L,37.84,05/09/2016,16,6.676,Sugar Beet,CF18,Sugar Beet,2017,0.395
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,3.723,L,22.28,05/09/2016,7.8,6.676,Wheat Winter,CF11,KWS Lili,2017,0.477
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.384,L,8.28,05/09/2016,2.9,6.676,Wheat Winter,CF24,KWS Lili,2017,0.477
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,3.198,L,19.14,05/09/2016,6.7,6.676,Wheat Winter,CF5,KWS Lili,2017,0.477
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.864,L,17.14,05/09/2016,6,6.676,Wheat Winter,CF9.B/02,KWS Lili,2017,0.477
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.647,L,9.81,26/09/2016,3.5,6.676,Fodder Beet,CF29,Fodder Beet,2017,0.471
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,6.188,L,36.85,26/09/2016,8.8,6.676,Sugar Beet,CF1,Sugar Beet,2017,0.703
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.813,L,16.75,26/09/2016,4,6.676,Sugar Beet,CF2,Sugar Beet,2017,0.703
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.353,L,14.01,26/09/2016,5,6.676,Sugar Beet,CF28,Sugar Beet,2017,0.471
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.364,L,8.16,22/03/2017,3.5,6.676,Fodder Beet,CF29,Fodder Beet,2017,0.39
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,3.429,L,20.52,22/03/2017,8.8,6.676,Sugar Beet,CF1,Sugar Beet,2017,0.39
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,6.234,L,37.3,22/03/2017,16,6.676,Sugar Beet,CF18,Sugar Beet,2017,0.39
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.026,L,12.12,22/03/2017,5.2,6.676,Sugar Beet,CF2,Sugar Beet,2017,0.39
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,1.948,L,11.66,22/03/2017,5,6.676,Sugar Beet,CF28,Sugar Beet,2017,0.39
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,7.981,L,47.76,24/03/2017,7.8,6.676,Wheat Winter,CF11,KWS Lili,2017,1.023
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,6.856,L,41.03,24/03/2017,6.7,6.676,Wheat Winter,CF5,KWS Lili,2017,1.023
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,7.163,L,42.86,24/03/2017,7,6.676,Wheat Winter,CF9.B/02,KWS Lili,2017,1.023
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,12.698,L,71.77,03/07/2017,12,4.133,Rape Winter,CF14,Rape Winter,2017,1.058
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,14.815,L,83.73,03/07/2017,14,4.133,Rape Winter,CF16.B/02,Rape Winter,2017,1.058
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.8,L,15.82,03/07/2017,3.5,4.133,Rape Winter,CF25,Rape Winter,2017,0.8
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.8,L,15.82,03/07/2017,3.5,4.133,Rape Winter,CF27,Rape Winter,2017,0.8
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,4.4,L,24.87,03/07/2017,5.5,4.133,Rape Winter,CF32,Rape Winter,2017,0.8
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Companion Gold,2.487,L,14.05,03/07/2017,2.35,4.133,Rape Winter,CF50,Rape Winter,2017,1.058
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,4.5,L,10.17,11/05/2017,8.8,2.226,Sugar Beet,CF1,Sugar Beet,2017,0.511
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,10.667,L,24.11,08/06/2017,16,2.226,Sugar Beet,CF18,Sugar Beet,2017,0.667
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,3.333,L,7.53,08/06/2017,5,2.226,Sugar Beet,CF28,Sugar Beet,2017,0.667
FH Rockcliffe FGrp,Variable Costs,Adjuvants,Completed,Logic,2.205,L,4.98,09/06/2017,3.5,2.226,Fodder Beet,CF29,Fodder Beet,2017,0.63
