Field Group,Heading Category,Heading,Status,Product Name,Quantity,Units,Value GBP,Actual/Issued Date,Application Area ha,Av Field Unit Price GBP,Crop Group,Field Defined Name,Quantity per Application Area ha,Variety,Year
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Special Sauce,1.686,L,0,10/04/2018,8.31,0,NEW YEAR NEW CROP,SUPER GRASS FIELD,0.203,Maize thing,2018
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Special Sauce,1.686,L,0,10/04/2018,8.31,0,Grass,SUPER GRASS FIELD,0.203,Maize thing,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Special Sauce,1.686,L,0,10/04/2018,8.31,0,Maize Forage,SUPER MAIZE FIELD,0.203,Maize thing,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Remix,1.686,L,27.26,10/04/2018,8.31,16.173,Maize Forage,SUPER MAIZE FIELD,0.203,Maize thing,2019
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Maize thing,100000,Seed,1800,10/04/2018,8.31,16.173,Maize Forage,SUPER MAIZE FIELD,0.203,Maize thing,2019
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Skyfall,1800,L,1800,10/04/2018,8.31,16.173,Maize Forage,SUPER MAIZE FIELD,0.203,Maize thing,2019
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Mascani,1000,L,1000,10/04/2018,8.31,16.173,Maize Forage,SUPER MAIZE FIELD,0.203,Maize thing,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Special Sauce,1.686,L,0,10/04/2018,8.31,0,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.203,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Remix,1.686,L,27.26,10/04/2018,8.31,16.173,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.203,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Skyfall,1800,L,1800,10/04/2018,8.31,16.173,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.203,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Mascani,1000,L,1000,10/04/2018,8.31,16.173,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.203,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Remix,2.783,L,0,10/04/2018,13.72,0,Wheat Winter,Godfrey Cow Pasture.Dunston,0.203,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Remix,6.132,L,0,10/04/2018,30.23,0,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.203,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Remix,2.537,L,41.03,2/26/2019,6.31,16.173,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.402,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Roller,0.943,L,45.14,3/20/2019,8.31,47.85,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.114,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Roller,1.558,L,74.53,3/20/2019,13.72,47.85,Wheat Winter,Godfrey Cow Pasture.Dunston,0.114,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Roller,3.432,L,164.22,3/20/2019,30.23,47.85,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.114,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Stringray,0.663,L,18.56,5/22/2019,6.45,27.99,Oats Spring,Godfrey Old Orchard.Mascani,0.103,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Adjuvants,Completed,Stringray,1.737,L,48.62,5/22/2019,16.9,27.99,Oats Spring,Godfrey The Wood.Mascani,0.103,Mascani,2019
,,SUB TOTALS FOR Adjuvants,,,,,563.55,,,,,,,,
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Haydn,7.095,SBUnit,227.17,3/22/2019,6.45,180,Sugar Beet,SUPER SUGAR FIELD,1.1,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Other,Completed,Haydn,18.59,SBUnit,468.85,3/22/2019,16.9,180,Oats Spring,Godfrey The Wood.Mascani,1.1,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Other,Completed,Haydn,9.141,SBUnit,318.98,3/22/2019,8.31,180,Wheat Winter,Godfrey Beldhams Heath.Dunston,1.1,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,861,L,227.17,3/22/2019,6.45,0.264,Oats Spring,Godfrey Old Orchard.Mascani,133.488,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,1777,L,468.85,3/22/2019,16.9,0.264,Oats Spring,Godfrey The Wood.Mascani,105.148,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,1209,L,318.98,3/22/2019,8.31,0.264,Wheat Winter,Godfrey Beldhams Heath.Dunston,145.487,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,1991,L,525.31,3/22/2019,13.72,0.264,Wheat Winter,Godfrey Cow Pasture.Dunston,145.117,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,4608,L,1215.78,3/27/2019,30.23,0.264,Wheat Winter,Godfrey Railway Barn.C.Dunston,152.431,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,700,L,184.69,4/15/2019,6.45,0.264,Oats Spring,Godfrey Old Orchard.Mascani,108.527,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,1750,L,461.72,4/15/2019,16.9,0.264,Oats Spring,Godfrey The Wood.Mascani,103.55,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,1100,L,290.23,4/15/2019,8.31,0.264,Wheat Winter,Godfrey Beldhams Heath.Dunston,132.371,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,1750,L,461.72,4/15/2019,13.72,0.264,Wheat Winter,Godfrey Cow Pasture.Dunston,127.551,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,1242,L,327.69,05/08/2019,8.31,0.264,Wheat Winter,Godfrey Beldhams Heath.Dunston,149.458,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,2016,L,531.9,05/08/2019,13.72,0.264,Wheat Winter,Godfrey Cow Pasture.Dunston,146.939,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fertiliser,Completed,Nitroflo 30%N,4605,L,1214.99,05/08/2019,30.23,0.264,Wheat Winter,Godfrey Railway Barn.C.Dunston,152.332,Dunston,2019
,,SUB TOTALS FOR Fertiliser,,,,,14168.36,,,,,,,,
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Ceando (16012),4.18,L,66.89,3/28/2019,8.31,16,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.503,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Ceando (16012),6.902,L,110.43,3/28/2019,13.72,16,Wheat Winter,Godfrey Cow Pasture.Dunston,0.503,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Ceando (16012),15.117,L,241.87,3/28/2019,30.23,16,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.5,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Ceando (16012),3.225,L,51.6,5/15/2019,6.45,16,Oats Spring,Godfrey Old Orchard.Mascani,0.5,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Ceando (16012),8.45,L,135.2,5/15/2019,16.9,16,Oats Spring,Godfrey The Wood.Mascani,0.5,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Ceando (16012),3.474,L,55.58,6/17/2019,6.45,16,Oats Spring,Godfrey Old Orchard.Mascani,0.539,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Ceando (16012),9.102,L,145.63,6/17/2019,16.9,16,Oats Spring,Godfrey The Wood.Mascani,0.539,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Conclude (16905),3.225,L,51.54,5/15/2019,6.45,15.98,Oats Spring,Godfrey Old Orchard.Mascani,0.5,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Conclude (16905),8.45,L,135.03,5/15/2019,16.9,15.98,Oats Spring,Godfrey The Wood.Mascani,0.5,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Conclude (16905),3.405,L,54.41,6/17/2019,6.45,15.98,Oats Spring,Godfrey Old Orchard.Mascani,0.528,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Conclude (16905),8.921,L,142.55,6/17/2019,16.9,15.98,Oats Spring,Godfrey The Wood.Mascani,0.528,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Eclipse (11731),9.14,L,144.59,05/02/2019,8.31,15.82,Wheat Winter,Godfrey Beldhams Heath.Dunston,1.1,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Eclipse (11731),15.09,L,238.73,05/02/2019,13.72,15.82,Wheat Winter,Godfrey Cow Pasture.Dunston,1.1,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Eclipse (11731),33.25,L,526.02,5/20/2019,30.23,15.82,Wheat Winter,Godfrey Railway Barn.C.Dunston,1.1,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Eclipse (11731),6.189,L,97.91,06/06/2019,6.31,15.82,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.981,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Monkey (18382),8.328,L,133,06/06/2019,8.31,15.97,Wheat Winter,Godfrey Beldhams Heath.Dunston,1.002,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Monkey (18382),13.75,L,219.58,06/06/2019,13.72,15.97,Wheat Winter,Godfrey Cow Pasture.Dunston,1.002,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Monkey (18382),30.295,L,483.82,06/06/2019,30.23,15.97,Wheat Winter,Godfrey Railway Barn.C.Dunston,1.002,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Monkey (18382),6.228,L,99.46,6/27/2019,6.31,15.97,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.987,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Nebula (15229),9.143,L,169.24,4/23/2019,8.31,18.51,Wheat Winter,Godfrey Beldhams Heath.Dunston,1.1,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Nebula (15229),15.096,L,279.42,4/23/2019,13.72,18.51,Wheat Winter,Godfrey Cow Pasture.Dunston,1.1,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Nebula (15229),33.261,L,615.66,4/23/2019,30.23,18.51,Wheat Winter,Godfrey Railway Barn.C.Dunston,1.1,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Nebula (15229),5.167,L,95.64,05/06/2019,6.31,18.51,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.819,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Priaxor EC (17371),5.402,L,199.73,05/02/2019,8.31,36.976,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.65,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Priaxor EC (17371),8.918,L,329.76,05/02/2019,13.72,36.976,Wheat Winter,Godfrey Cow Pasture.Dunston,0.65,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Priaxor EC (17371),19.65,L,726.58,5/20/2019,30.23,36.976,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.65,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Priaxor EC (17371),3.713,L,137.3,06/06/2019,6.31,36.976,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.588,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Resort (17861),8.269,L,45.97,4/23/2019,8.31,5.56,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.995,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Resort (17861),13.652,L,75.9,4/23/2019,13.72,5.56,Wheat Winter,Godfrey Cow Pasture.Dunston,0.995,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Resort (17861),30.08,L,167.24,4/23/2019,30.23,5.56,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.995,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Resort (17861),3.249,L,18.07,05/06/2019,6.31,5.56,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.515,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Unizeb Gold (18186),12.492,L,63.83,06/06/2019,8.31,5.11,Wheat Winter,Godfrey Beldhams Heath.Dunston,1.503,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Unizeb Gold (18186),20.624,L,105.39,06/06/2019,13.72,5.11,Wheat Winter,Godfrey Cow Pasture.Dunston,1.503,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Fungicides,Completed,Unizeb Gold (18186),45.443,L,232.21,06/06/2019,30.23,5.11,Wheat Winter,Godfrey Railway Barn.C.Dunston,1.503,Dunston,2019
,,SUB TOTALS FOR Fungicides,,,,,6395.78,,,,,,,,
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),12.403,L,23.57,4/23/2019,8.31,1.9,Wheat Winter,Godfrey Beldhams Heath.Dunston,1.493,Wheat Winter,2019
